"Lat","Long","Altitude","Date_","Time_","dt_","y"
37.750179,-122.421427,33,"2017/07/05","23:37:25",2017-07-04 23:37:25,"train"
37.751122,-122.421459,32,"2017/07/05","23:38:25",2017-07-04 23:38:25,"train"
37.751122,-122.421459,32,"2017/07/05","23:38:25",2017-07-04 23:38:25,"train"
37.752041,-122.421377,28,"2017/07/05","23:39:26",2017-07-04 23:39:26,"train"
37.752041,-122.421377,28,"2017/07/05","23:39:26",2017-07-04 23:39:26,"train"
37.752115,-122.420373,28,"2017/07/05","23:40:26",2017-07-04 23:40:26,"train"
37.752105,-122.4204,29,"2017/07/05","23:42:28",2017-07-04 23:42:28,"train"
37.752229,-122.418692,29,"2017/07/05","23:43:29",2017-07-04 23:43:29,"train"
37.752152,-122.417573,25,"2017/07/05","23:44:29",2017-07-04 23:44:29,"train"
37.752152,-122.417573,25,"2017/07/05","23:44:29",2017-07-04 23:44:29,"train"
37.752337,-122.416829,24,"2017/07/05","23:44:49",2017-07-04 23:44:49,"train"
37.752428,-122.415348,20,"2017/07/05","23:45:30",2017-07-04 23:45:30,"train"
37.752644,-122.411772,18,"2017/07/05","23:47:52",2017-07-04 23:47:52,"train"
37.752717,-122.410562,17,"2017/07/05","23:48:31",2017-07-04 23:48:31,"train"
37.752788,-122.409372,17,"2017/07/05","23:48:53",2017-07-04 23:48:53,"train"
37.752828,-122.408669,16,"2017/07/05","23:49:31",2017-07-04 23:49:31,"train"
37.752632,-122.406743,16,"2017/07/05","23:49:57",2017-07-04 23:49:57,"train"
37.753643,-122.406123,19,"2017/07/05","23:50:32",2017-07-04 23:50:32,"train"
37.753996,-122.406592,19,"2017/07/05","23:50:58",2017-07-04 23:50:58,"train"
37.754228,-122.405216,21,"2017/07/05","23:51:36",2017-07-04 23:51:36,"train"
37.754555,-122.401974,32,"2017/07/05","23:52:33",2017-07-04 23:52:33,"train"
37.754556,-122.401957,34,"2017/07/05","23:52:37",2017-07-04 23:52:37,"train"
37.751898,-122.401354,33,"2017/07/05","23:53:33",2017-07-04 23:53:33,"train"
37.751536,-122.401322,33,"2017/07/05","23:53:38",2017-07-04 23:53:38,"train"
37.750863,-122.399901,30,"2017/07/05","23:54:34",2017-07-04 23:54:34,"train"
37.75099,-122.399377,28,"2017/07/05","23:54:39",2017-07-04 23:54:39,"train"
37.751886,-122.398424,47,"2017/07/05","23:55:34",2017-07-04 23:55:34,"train"
37.75214,-122.398453,51,"2017/07/05","23:55:39",2017-07-04 23:55:39,"train"
37.75232,-122.396367,31,"2017/07/05","23:56:35",2017-07-04 23:56:35,"train"
37.752327,-122.396264,30,"2017/07/05","23:56:36",2017-07-04 23:56:36,"train"
37.752529,-122.392885,22,"2017/07/05","23:57:35",2017-07-04 23:57:35,"train"
37.752532,-122.392838,22,"2017/07/05","23:57:37",2017-07-04 23:57:37,"train"
37.754874,-122.392855,18,"2017/07/05","23:58:36",2017-07-04 23:58:36,"train"
37.755,-122.392865,17,"2017/07/05","23:58:38",2017-07-04 23:58:38,"train"
37.755,-122.392865,17,"2017/07/05","23:58:38",2017-07-04 23:58:38,"train"
37.757634,-122.393094,17,"2017/07/05","23:59:36",2017-07-04 23:59:36,"train"
37.757668,-122.392827,17,"2017/07/05","23:59:38",2017-07-04 23:59:38,"train"
37.757288,-122.39271,16,"2017/07/05","00:00:37",2017-07-05 00:00:37,"train"
37.757301,-122.39266,16,"2017/07/05","00:00:39",2017-07-05 00:00:39,"train"
37.756381,-122.392302,14,"2017/07/05","00:01:38",2017-07-05 00:01:38,"train"
37.756402,-122.392354,14,"2017/07/05","00:01:40",2017-07-05 00:01:40,"train"
37.756525,-122.392273,14,"2017/07/05","00:02:43",2017-07-05 00:02:43,"train"
37.747862,-122.395419,14,"2017/07/05","00:05:39",2017-07-05 00:05:39,"train"
37.736631,-122.391724,14,"2017/07/05","00:05:59",2017-07-05 00:05:59,"train"
37.658694,-122.404322,14,"2017/07/05","00:11:08",2017-07-05 00:11:08,"train"
37.650279,-122.407925,14,"2017/07/05","00:12:17",2017-07-05 00:12:17,"train"
37.618614,-122.401224,14,"2017/07/05","00:13:19",2017-07-05 00:13:19,"train"
37.605233,-122.395485,14,"2017/07/05","00:14:24",2017-07-05 00:14:24,"train"
37.605592,-122.386427,14,"2017/07/05","00:15:41",2017-07-05 00:15:41,"train"
37.591996,-122.365886,14,"2017/07/05","00:18:33",2017-07-05 00:18:33,"train"
37.581319,-122.349572,14,"2017/07/05","00:19:38",2017-07-05 00:19:38,"train"
37.580192,-122.344783,14,"2017/07/05","00:20:58",2017-07-05 00:20:58,"train"
37.553423,-122.307511,14,"2017/07/05","00:22:05",2017-07-05 00:22:05,"train"
37.536958,-122.297831,14,"2017/07/05","00:24:52",2017-07-05 00:24:52,"train"
37.527001,-122.290522,14,"2017/07/05","00:26:05",2017-07-05 00:26:05,"train"
37.518487,-122.267814,14,"2017/07/05","00:27:26",2017-07-05 00:27:26,"train"
37.497782,-122.252605,14,"2017/07/05","00:28:34",2017-07-05 00:28:34,"train"
37.487532,-122.234847,14,"2017/07/05","00:29:45",2017-07-05 00:29:45,"train"
37.483946,-122.232365,14,"2017/07/05","00:30:01",2017-07-05 00:30:01,"train"
37.482719,-122.231933,14,"2017/07/05","00:31:36",2017-07-05 00:31:36,"train"
37.477994,-122.219904,14,"2017/07/05","00:32:41",2017-07-05 00:32:41,"train"
37.467377,-122.199111,14,"2017/07/05","00:34:01",2017-07-05 00:34:01,"train"
37.455992,-122.180898,14,"2017/07/05","00:35:03",2017-07-05 00:35:03,"train"
37.44687,-122.174818,14,"2017/07/05","00:36:09",2017-07-05 00:36:09,"train"
37.443021,-122.164425,44,"2017/07/05","00:37:30",2017-07-05 00:37:30,"train"
37.443088,-122.164097,27,"2017/07/05","00:38:36",2017-07-05 00:38:36,"train"
37.442859,-122.163649,25,"2017/07/05","00:39:36",2017-07-05 00:39:36,"train"
37.442859,-122.163649,25,"2017/07/05","00:39:36",2017-07-05 00:39:36,"train"
37.442731,-122.163288,24,"2017/07/05","00:40:04",2017-07-05 00:40:04,"train"
37.442556,-122.162857,23,"2017/07/05","00:40:37",2017-07-05 00:40:37,"train"
37.795385,-122.425038,54,"2017/07/14","01:56:15",2017-07-14 01:56:15,"car"
37.798923,-122.425774,29,"2017/07/14","01:57:11",2017-07-14 01:57:11,"car"
37.800631,-122.430314,16,"2017/07/14","01:58:12",2017-07-14 01:58:12,"car"
37.800078,-122.434289,14,"2017/07/14","01:59:12",2017-07-14 01:59:12,"car"
37.799572,-122.438483,12,"2017/07/14","02:00:13",2017-07-14 02:00:13,"car"
37.799483,-122.445774,11,"2017/07/14","02:02:11",2017-07-14 02:02:11,"car"
