"Lat","Long","Altitude","Date_","Time_","dt_","y"
37.803466,-122.452095,12,"2017/07/14","02:03:12",2017-07-14 02:03:12,"car"
37.803239,-122.469657,35,"2017/07/14","02:04:13",2017-07-14 02:04:13,"car"
37.812402,-122.477655,70,"2017/07/14","02:05:14",2017-07-14 02:05:14,"car"
37.823386,-122.478898,87,"2017/07/14","02:06:15",2017-07-14 02:06:15,"car"
37.832912,-122.481486,84,"2017/07/14","02:07:12",2017-07-14 02:07:12,"car"
37.84569,-122.485715,154,"2017/07/14","02:08:13",2017-07-14 02:08:13,"car"
37.857114,-122.497354,141,"2017/07/14","02:09:14",2017-07-14 02:09:14,"car"
37.871029,-122.507137,23,"2017/07/14","02:10:15",2017-07-14 02:10:15,"car"
37.88491,-122.516673,25,"2017/07/14","02:11:15",2017-07-14 02:11:15,"car"
37.900387,-122.515871,11,"2017/07/14","02:12:12",2017-07-14 02:12:12,"car"
37.917417,-122.511147,15,"2017/07/14","02:13:13",2017-07-14 02:13:13,"car"
37.934218,-122.516454,13,"2017/07/14","02:14:13",2017-07-14 02:14:13,"car"
37.950221,-122.511622,31,"2017/07/14","02:15:13",2017-07-14 02:15:13,"car"
37.963867,-122.512391,8,"2017/07/14","02:16:13",2017-07-14 02:16:13,"car"
37.97578,-122.520618,14,"2017/07/14","02:17:13",2017-07-14 02:17:13,"car"
37.990104,-122.528734,64,"2017/07/14","02:18:14",2017-07-14 02:18:14,"car"
38.004935,-122.540001,13,"2017/07/14","02:19:15",2017-07-14 02:19:15,"car"
38.021763,-122.538961,20,"2017/07/14","02:20:15",2017-07-14 02:20:15,"car"
38.038863,-122.536696,45,"2017/07/14","02:21:15",2017-07-14 02:21:15,"car"
38.054336,-122.530629,25,"2017/07/14","02:22:14",2017-07-14 02:22:14,"car"
38.069528,-122.538688,15,"2017/07/14","02:23:14",2017-07-14 02:23:14,"car"
38.083615,-122.54974,10,"2017/07/14","02:24:15",2017-07-14 02:24:15,"car"
38.093604,-122.55678,4,"2017/07/14","02:25:15",2017-07-14 02:25:15,"car"
38.090911,-122.555851,5,"2017/07/14","02:26:16",2017-07-14 02:26:16,"car"
38.090911,-122.555851,5,"2017/07/14","02:26:16",2017-07-14 02:26:16,"car"
38.090807,-122.555785,7,"2017/07/14","02:27:15",2017-07-14 02:27:15,"car"
38.09077,-122.555575,6,"2017/07/14","02:28:16",2017-07-14 02:28:16,"car"
38.090586,-122.555115,5,"2017/07/14","02:29:16",2017-07-14 02:29:16,"car"
38.090616,-122.555093,8,"2017/07/14","02:30:17",2017-07-14 02:30:17,"car"
38.090622,-122.55509,8,"2017/07/14","06:45:01",2017-07-14 06:45:01,"car"
38.090912,-122.555291,5,"2017/07/14","06:46:02",2017-07-14 06:46:02,"car"
38.090849,-122.555323,5,"2017/07/14","06:47:03",2017-07-14 06:47:03,"car"
38.090265,-122.554947,5,"2017/07/14","06:48:03",2017-07-14 06:48:03,"car"
37.795385,-122.425038,54,"2017/07/14","01:56:15",2017-07-14 01:56:15,"car"
37.798923,-122.425774,29,"2017/07/14","01:57:11",2017-07-14 01:57:11,"car"
37.800631,-122.430314,16,"2017/07/14","01:58:12",2017-07-14 01:58:12,"car"
37.800078,-122.434289,14,"2017/07/14","01:59:12",2017-07-14 01:59:12,"car"
37.799572,-122.438483,12,"2017/07/14","02:00:13",2017-07-14 02:00:13,"car"
37.799483,-122.445774,11,"2017/07/14","02:02:11",2017-07-14 02:02:11,"car"
37.803466,-122.452095,12,"2017/07/14","02:03:12",2017-07-14 02:03:12,"car"
37.803239,-122.469657,35,"2017/07/14","02:04:13",2017-07-14 02:04:13,"car"
37.812402,-122.477655,70,"2017/07/14","02:05:14",2017-07-14 02:05:14,"car"
37.823386,-122.478898,87,"2017/07/14","02:06:15",2017-07-14 02:06:15,"car"
37.832912,-122.481486,84,"2017/07/14","02:07:12",2017-07-14 02:07:12,"car"
37.84569,-122.485715,154,"2017/07/14","02:08:13",2017-07-14 02:08:13,"car"
37.857114,-122.497354,141,"2017/07/14","02:09:14",2017-07-14 02:09:14,"car"
37.871029,-122.507137,23,"2017/07/14","02:10:15",2017-07-14 02:10:15,"car"
37.88491,-122.516673,25,"2017/07/14","02:11:15",2017-07-14 02:11:15,"car"
37.900387,-122.515871,11,"2017/07/14","02:12:12",2017-07-14 02:12:12,"car"
37.917417,-122.511147,15,"2017/07/14","02:13:13",2017-07-14 02:13:13,"car"
37.934218,-122.516454,13,"2017/07/14","02:14:13",2017-07-14 02:14:13,"car"
37.950221,-122.511622,31,"2017/07/14","02:15:13",2017-07-14 02:15:13,"car"
37.963867,-122.512391,8,"2017/07/14","02:16:13",2017-07-14 02:16:13,"car"
37.97578,-122.520618,14,"2017/07/14","02:17:13",2017-07-14 02:17:13,"car"
37.990104,-122.528734,64,"2017/07/14","02:18:14",2017-07-14 02:18:14,"car"
38.004935,-122.540001,13,"2017/07/14","02:19:15",2017-07-14 02:19:15,"car"
38.021763,-122.538961,20,"2017/07/14","02:20:15",2017-07-14 02:20:15,"car"
38.038863,-122.536696,45,"2017/07/14","02:21:15",2017-07-14 02:21:15,"car"
38.054336,-122.530629,25,"2017/07/14","02:22:14",2017-07-14 02:22:14,"car"
38.069528,-122.538688,15,"2017/07/14","02:23:14",2017-07-14 02:23:14,"car"
38.083615,-122.54974,10,"2017/07/14","02:24:15",2017-07-14 02:24:15,"car"
38.093604,-122.55678,4,"2017/07/14","02:25:15",2017-07-14 02:25:15,"car"
38.090911,-122.555851,5,"2017/07/14","02:26:16",2017-07-14 02:26:16,"car"
38.090911,-122.555851,5,"2017/07/14","02:26:16",2017-07-14 02:26:16,"car"
38.090807,-122.555785,7,"2017/07/14","02:27:15",2017-07-14 02:27:15,"car"
38.09077,-122.555575,6,"2017/07/14","02:28:16",2017-07-14 02:28:16,"car"
38.090586,-122.555115,5,"2017/07/14","02:29:16",2017-07-14 02:29:16,"car"
38.090616,-122.555093,8,"2017/07/14","02:30:17",2017-07-14 02:30:17,"car"
38.090622,-122.55509,8,"2017/07/14","06:45:01",2017-07-14 06:45:01,"car"
38.090912,-122.555291,5,"2017/07/14","06:46:02",2017-07-14 06:46:02,"car"
38.090849,-122.555323,5,"2017/07/14","06:47:03",2017-07-14 06:47:03,"car"
38.090265,-122.554947,5,"2017/07/14","06:48:03",2017-07-14 06:48:03,"car"
